,OrganisationID,OrganisationCode,OrganisationType,SubType,Sector,OrganisationStatus,IsPimsManaged,OrganisationName,Address1,Address2,Address3,City,County,Postcode,Latitude,Longitude,ParentODSCode,ParentName,Phone,Email,Website,Fax,domain,nounname
20,18360,NT213,Hospital,Hospital,Independent Sector,Visible,True,"Nuffield Health, Derby Hospital",,Rykneld Road,Littleover,Derby,Derbyshire,DE23 4SN,52.89355087,-1.530155182,NT2,Nuffield Health,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/derbyhospital,,nuffieldhealth.com,Derby Hospital
21,18361,NT214,Hospital,Hospital,Independent Sector,Visible,True,"Nuffield Health, Wessex Hospital",Nuffield Health Wessex Hospital,Winchester Road,Chandlers Ford,Eastleigh,Hampshire,SO53 2DW,50.99697495,-1.35935092,NT2,Nuffield Health,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/hospitals/wessex,,nuffieldhealth.com,Wessex Hospital
22,18362,NT215,Hospital,Hospital,Independent Sector,Visible,True,"Nuffield Health, Exeter Hospital",Nuffield Health Exeter Hospital,Wonford Road,,Exeter,Devon,EX2 4UG,50.71631622,-3.511271715,NT2,Nuffield Health,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/exeterhospital,,exeterhospital.com,Exeter Hospital
23,18363,NT216,Hospital,Hospital,Independent Sector,Visible,True,"Nuffield Health, Guildford Hospital",,Stirling Road,,Guildford,Surrey,GU2 7RF,51.24165344,-0.612543583,NT2,Nuffield Health,01483 555800,,http://www.nuffieldhealth.com/guildfordhospital,,nuffieldhealth.com,Guildford Hospital
24,18365,NT218,Hospital,Hospital,Independent Sector,Visible,True,"Nuffield Health, Haywards Heath Hospital",,Burrell Road,,Haywards Heath,,RH16 1UD,51.00840378,-0.106121421,NT2,Nuffield Health,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/haywards-heathhospital,,nuffieldhealth.com,Haywards Heath Hospital
25,18366,NT219,Hospital,Hospital,Independent Sector,Visible,True,"Nuffield Health, Hereford Hospital",,Venns Lane,,Hereford,Herefordshire,HR1 1DF,52.06393814,-2.69995451,NT2,Nuffield Health,01432 355131,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/herefordhospital,01432 344061,nuffieldhealth.com,Hereford Hospital
26,18367,NT222,Hospital,Hospital,Independent Sector,Visible,True,"Nuffield Health, Ipswich Hospital",,Foxhall Road,,Ipswich,Suffolk,IP4 5SW,52.04751968,1.228945851,NT2,Nuffield Health,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/ipswichhospital,,ipswichhospital.org.uk,Ipswich Hospital
27,18368,NT224,Hospital,Hospital,Independent Sector,Visible,True,"Nuffield Health, Warwickshire Hospital",,The Chase,Old Milverton Lane,Leamington Spa,Warwickshire,CV32 6RW,52.30849838,-1.543865085,NT2,Nuffield Health,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/warwickshirehospital,,nuffieldhealth.com,Warwickshire Hospital
28,18369,NT225,Hospital,Hospital,Independent Sector,Visible,True,"Nuffield Health, Leeds Hospital",Nuffield Health Leeds Hospital,2 Leighton Street,,Leeds,West Yorkshire,LS1 3EB,53.80065918,-1.554257393,NT2,Nuffield Health,0113 388 2000,leedsnuffield@nhs.net,https://www.nuffieldhealth.com/hospitals/leeds,0113 3882187,nuffieldhealth.com,Leeds Hospital
29,18370,NT226,Hospital,Hospital,Independent Sector,Visible,True,"Nuffield Health, Leicester Hospital",,Scraptoft Lane,,Leicester,Leicestershire,LE5 1HY,52.64425659,-1.0712955,NT2,Nuffield Health,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/leicesterhospital,,nuffieldhealth.com,Leicester Hospital
30,18371,NT229,Hospital,Hospital,Independent Sector,Visible,True,"Nuffield Health, Newcastle-upon-Tyne Hospital",,Clayton Road,Jesmond,Newcastle Upon Tyne,,NE2 1JP,54.98661423,-1.605277061,NT2,Nuffield Health,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/newcastle-upon-tynehospital,,nuffieldhealth.com,Newcastle-upon-Tyne Hospital
31,18372,NT230,Hospital,Hospital,Independent Sector,Visible,True,"Nuffield Health, North Staffordshire Hospital",,Clayton Road,,Newcastle Under Lyme,Staffordshire,ST5 4DB,52.98740768,-2.223027706,NT2,Nuffield Health,01782 382551,customerservice.enq@nuffieldhealth.com,http://www.nuffieldhealth.com/northstaffordshirehospital,,nuffieldhealth.com,North Staffordshire Hospital
32,18373,NT233,Hospital,Hospital,Independent Sector,Visible,True,"Nuffield Health, Plymouth Hospital",,Derriford Road,,Plymouth,Devon,PL6 8BG,50.41867447,-4.114448071,NT2,Nuffield Health,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/plymouthhospital,,nuffieldhealth.com,Plymouth Hospital
33,18374,NT235,Hospital,Hospital,Independent Sector,Visible,True,"Nuffield Health, Shrewsbury Hospital",,Longden Road,,Shrewsbury,Shropshire,SY3 9DP,52.69225693,-2.7714405060000002,NT2,Nuffield Health,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/shrewsburyhospital,,nuffieldhealth.com,Shrewsbury Hospital
34,18375,NT237,Hospital,Hospital,Independent Sector,Visible,True,"Nuffield Health, Tees Hospital",Nuffield Health Tees Hospital,Junction Road,Norton,Stockton-on-Tees,Cleveland,TS20 1PX,54.59342575,-1.3352185490000001,NT2,Nuffield Health,0800 015 5020,tees.enquiries2@nuffieldhealth.com,http://www.nuffieldhealth.com/teeshospital,,spinalsurgeon.com,Tees Hospital
35,18376,NT238,Hospital,Hospital,Independent Sector,Visible,True,"Nuffield Health, Taunton Hospital",,Staplegrove Elm,,Taunton,Somerset,TA2 6AN,51.02984619,-3.1268978119999997,NT2,Nuffield Health,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/tauntonhospital,,nuffieldhealth.com,Taunton Hospital
36,18377,NT239,Hospital,Hospital,Independent Sector,Visible,True,"Nuffield Health, Tunbridge Wells Hospital",,Kingswood Road,,Tunbridge Wells,Kent,TN2 4UL,51.13151932,0.278053015,NT2,Nuffield Health,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/tunbridgewellshospital,,nuffieldhealth.com,Tunbridge Wells Hospital
37,18378,NT241,Hospital,Hospital,Independent Sector,Visible,True,"Nuffield Health, Woking Hospital",,Shores Road,,Woking,Surrey,GU21 4BY,51.33221054,-0.561365902,NT2,Nuffield Health,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/wokinghospital,,nuffieldhealth.com,Woking Hospital
